round,accuracy,auc,f1-score,loss,precision,recall
1,0.941747572815534,0.9487847233811407,0.9293262151670487,0.8214289111998475,0.94493689722573,0.941747572815534
2,0.941747572815534,0.9682779587329566,0.9376305805482736,0.47376767553172067,0.9376614723559324,0.941747572815534
3,0.9514563106796117,0.9674108457556047,0.947024146698107,0.47823071074717255,0.9467651138125153,0.9514563106796117
4,0.9611650485436893,0.9623058006986578,0.9553797335350734,0.46410755509311713,0.9633560473577358,0.9611650485436893
5,0.9611650485436893,0.9667777582389481,0.9553353089360034,0.46939144666912486,0.9628763009010268,0.9611650485436893
6,0.9563106796116505,0.9609954327004303,0.9505845916702866,0.46903110418504884,0.9585073688621919,0.9563106796116505
7,0.9611650485436893,0.9668435248792391,0.9558523865568329,0.44911801699295784,0.9576163985543195,0.9611650485436893
8,0.9611650485436893,0.9751884537598822,0.9553797335350734,0.44517166869154257,0.9633560473577358,0.9611650485436893
9,0.9563106796116505,0.9621237192665765,0.9508646860526986,0.45633092117541046,0.9591532111520691,0.9563106796116505
10,0.9611650485436893,0.9793050234447845,0.9553797335350734,0.4541371988440023,0.9633560473577358,0.9611650485436893
11,0.9466019417475728,0.9702173068244496,0.9424355927426956,0.45007003511039956,0.9425500476435124,0.9466019417475728
12,0.9660194174757282,0.973530708352137,0.960136674350703,0.44534194411583317,0.9675284930350359,0.9660194174757282
13,0.9514563106796117,0.9620225977368835,0.9472534626602077,0.4604969273493128,0.9473319633079087,0.9514563106796117
14,0.9660194174757282,0.9864737418308847,0.960219107467207,0.44078087285884376,0.9678298929237913,0.9660194174757282
