round,accuracy,auc,f1-score,loss,precision,recall
1,0.912621359223301,0.9416320935001349,0.9032846105664512,0.8460791504498825,0.9236186759190672,0.912621359223301
2,0.9611650485436893,0.9789554855952467,0.9555717618476038,0.4870312132881683,0.9640367604898821,0.9611650485436893
3,0.9514563106796117,0.9586879313991212,0.9455772306664821,0.48269447452813674,0.9546000924641701,0.9514563106796117
4,0.9514563106796117,0.924107744416789,0.9461977322414903,0.4925635896840142,0.949854177059749,0.9514563106796117
5,0.9466019417475728,0.9573104639502251,0.9407506312968,0.4820770985871843,0.950806960030261,0.9466019417475728
6,0.9611650485436893,0.9648324809039096,0.9553797335350734,0.4499030911806718,0.9633560473577358,0.9611650485436893
7,0.970873786407767,0.951024273345702,0.9649560795191864,0.4553604221459731,0.9721401435204726,0.970873786407767
8,0.9660194174757282,0.9705504437647294,0.960136674350703,0.4512943405549503,0.9675284930350359,0.9660194174757282
9,0.9563106796116505,0.9563088134516706,0.9509625041848009,0.46665608419955357,0.9536473094936582,0.9563106796116505
10,0.9660194174757282,0.9636299913085626,0.960136674350703,0.45712629307820957,0.9675284930350359,0.9660194174757282
11,0.9660194174757282,0.9661050661050662,0.960136674350703,0.4542628789989694,0.9675284930350359,0.9660194174757282
12,0.9611650485436893,0.9606413695699411,0.9553797335350734,0.439319831943049,0.9633560473577358,0.9611650485436893
13,0.9660194174757282,0.9679105241605243,0.960136674350703,0.4242190547938486,0.9675284930350359,0.9660194174757282
14,0.9611650485436893,0.9709545120259405,0.9553797335350734,0.42714624468562673,0.9633560473577358,0.9611650485436893
15,0.9611650485436893,0.9730569623426766,0.9553797335350734,0.47199607937081345,0.9633560473577358,0.9611650485436893
16,0.9563106796116505,0.9652134625348912,0.9506746812649628,0.4686490687930468,0.9595629149238266,0.9563106796116505
17,0.9660194174757282,0.9531439602868175,0.9573096627157459,0.4687719533165682,0.9677306698330657,0.9660194174757282
18,0.9660194174757282,0.9440312181383611,0.960136674350703,0.4515387954063786,0.9675284930350359,0.9660194174757282
19,0.9611650485436893,0.9504859683431113,0.9553797335350734,0.45651101400551286,0.9633560473577358,0.9611650485436893
20,0.9611650485436893,0.9638880183523039,0.9553797335350734,0.45603256231372796,0.9633560473577358,0.9611650485436893
21,0.9660194174757282,0.9594430585502015,0.960136674350703,0.4415255119499651,0.9675284930350359,0.9660194174757282
22,0.9660194174757282,0.967760722225008,0.960136674350703,0.4428038058929073,0.9675284930350359,0.9660194174757282
