round,accuracy,auc,f1-score,loss,precision,recall
1,0.8737864077669902,0.9632097598652414,0.865812503417214,0.7874557943020052,0.9012052226314028,0.8737864077669902
2,0.8932038834951457,0.9753239440739441,0.8904165830709154,0.5353169290764818,0.9268058004121869,0.8932038834951457
3,0.9660194174757282,0.9742993573350717,0.9601561261611067,0.4433165751035931,0.9673251364183971,0.9660194174757282
4,0.9514563106796117,0.9795809724381153,0.9462043375189935,0.47424145780720756,0.9558962634762274,0.9514563106796117
5,0.970873786407767,0.9798138235638236,0.9649560795191864,0.4528764411083703,0.9721401435204726,0.970873786407767
6,0.9660194174757282,0.96256424559996,0.960136674350703,0.4511166967234565,0.9675284930350359,0.9660194174757282
7,0.9660194174757282,0.9689090992662421,0.9573096627157459,0.46143338807578227,0.9677306698330657,0.9660194174757282
8,0.9660194174757282,0.9582736841665414,0.960136674350703,0.4498900881091368,0.9675284930350359,0.9660194174757282
9,0.970873786407767,0.9335653487439202,0.9649560795191864,0.4517004750307324,0.9721401435204726,0.970873786407767
10,0.970873786407767,0.9838992169349312,0.9649560795191864,0.4258803088688156,0.9721401435204726,0.970873786407767
11,0.9611650485436893,0.9733112286683715,0.9553797335350734,0.45512330445271093,0.9633560473577358,0.9611650485436893
