round,accuracy,auc,f1-score,loss,precision,recall
1,0.8446601941747572,0.9605115973348334,0.7951497705067094,0.8491358027874845,0.8749704001894388,0.8446601941747572
2,0.9514563106796117,0.980744354511493,0.9460116762893913,0.45949748303126364,0.956099620092866,0.9514563106796117
3,0.9514563106796117,0.9921313323596606,0.9460116762893913,0.48083483189055065,0.956099620092866,0.9514563106796117
4,0.9563106796116505,0.9705480158570604,0.9505845916702866,0.4799670678319283,0.9585073688621919,0.9563106796116505
5,0.9077669902912622,0.9697799432070772,0.9028774365481657,0.509647678403021,0.9261589990261754,0.9077669902912622
6,0.9514563106796117,0.9754262101840606,0.945449408058306,0.4875040638794019,0.9548748803500615,0.9514563106796117
7,0.9611650485436893,0.9900550819060328,0.9553353089360034,0.447782611962661,0.9628763009010268,0.9611650485436893
8,0.9563106796116505,0.9819436516362655,0.9505845916702866,0.48449356347611805,0.9585073688621919,0.9563106796116505
9,0.9660194174757282,0.97943090303495,0.9601513500234528,0.45609142103241485,0.9677306698330657,0.9660194174757282
10,0.9563106796116505,0.9741259338340275,0.9505845916702866,0.46065850396758146,0.9585073688621919,0.9563106796116505
11,0.9660194174757282,0.9914197128482842,0.960136674350703,0.4424875795262531,0.9675284930350359,0.9660194174757282
12,0.9660194174757282,0.9784032409032408,0.960136674350703,0.44866666776462666,0.9675284930350359,0.9660194174757282
13,0.9660194174757282,0.9731459660031087,0.960136674350703,0.44177424039655516,0.9675284930350359,0.9660194174757282
14,0.9660194174757282,0.9845823095823095,0.960136674350703,0.4367166919615662,0.9675284930350359,0.9660194174757282
15,0.9611650485436893,0.9843482048839193,0.9553797335350734,0.4416583840129445,0.9633560473577358,0.9611650485436893
