round,accuracy,auc,f1-score,loss,precision,recall
1,0.8398058252427184,0.8703755322542942,0.797830613689887,0.9615195057924512,0.7734704158270745,0.8398058252427184
2,0.8495145631067961,0.931787413982792,0.8276292438321801,0.7954267084019856,0.8270149483741716,0.8495145631067961
3,0.8737864077669902,0.9541867167143594,0.8527362253593881,0.7275203483775982,0.8580454026270702,0.8737864077669902
4,0.883495145631068,0.9466288539209812,0.8697409416685626,0.7044685720240028,0.8729449838187702,0.883495145631068
5,0.883495145631068,0.9478694568477848,0.8697409416685626,0.7141077003432709,0.8729449838187702,0.883495145631068
6,0.883495145631068,0.9485252131371104,0.8672969133827825,0.7099805358544137,0.8722850896933069,0.883495145631068
7,0.8737864077669902,0.9474210649743792,0.859025704519681,0.7323969631519133,0.8615613474161665,0.8737864077669902
8,0.883495145631068,0.9495762678723277,0.8697409416685626,0.7052788329355925,0.8729449838187702,0.883495145631068
9,0.8737864077669902,0.9513451553057443,0.8581330294962415,0.7076307523597791,0.8651209334014649,0.8737864077669902
10,0.8689320388349514,0.94934004153953,0.8531558591007474,0.7222853615445998,0.859093505010124,0.8689320388349514
11,0.883495145631068,0.941546724086794,0.8658938109396894,0.7256580990495034,0.8724469019910414,0.883495145631068
12,0.8737864077669902,0.9450057201947717,0.8625302242889096,0.7127743409675302,0.8625969936649549,0.8737864077669902
13,0.883495145631068,0.9475682397666468,0.8690082008330627,0.7206033369869862,0.8764922094344071,0.883495145631068
14,0.8786407766990292,0.9410132855770608,0.8645461690029478,0.7191899303093697,0.8719093851132685,0.8786407766990292
15,0.8786407766990292,0.9394660993889645,0.8605323053713446,0.7296217795714591,0.8707145700292473,0.8786407766990292
16,0.883495145631068,0.936046268371567,0.8712738515078844,0.743721298222403,0.8789193939004265,0.883495145631068
17,0.883495145631068,0.9288275600648205,0.8684902294023037,0.7593765119904453,0.8783968969201468,0.883495145631068
18,0.8883495145631068,0.9297458867809377,0.8756805346585442,0.736157919018014,0.8845092732767137,0.8883495145631068
19,0.883495145631068,0.9395322405486481,0.8728350334841909,0.7354422564645415,0.8805375168777729,0.883495145631068
20,0.8883495145631068,0.9318697118796391,0.8802560259952938,0.7229266513898535,0.8853662955604704,0.8883495145631068
21,0.8786407766990292,0.9213339871704532,0.8601902108858115,0.762664749784377,0.881305920426423,0.8786407766990292
22,0.883495145631068,0.9286608413617914,0.8704652560684557,0.7541470487140914,0.878857158401298,0.883495145631068
