round,accuracy,auc,f1-score,loss,precision,recall
1,0.912621359223301,0.9741962591049421,0.9038771346106814,0.8162394953005522,0.9176356805416063,0.912621359223301
2,0.9368932038834952,0.9838472729063176,0.9335058490648833,0.464297390389211,0.9489392304926284,0.9368932038834952
3,0.9466019417475728,0.9574505128574125,0.9413815108341823,0.4930241958608905,0.9529249331644856,0.9466019417475728
4,0.9611650485436893,0.9664654682511825,0.9553797335350734,0.4569377673482432,0.9633560473577358,0.9611650485436893
5,0.9514563106796117,0.9668320211829721,0.9455772306664821,0.4798528650431957,0.9546000924641701,0.9514563106796117
6,0.9611650485436893,0.9654908154908154,0.9553144896040678,0.46374509346137927,0.9631190193476288,0.9611650485436893
7,0.9514563106796117,0.933122929438166,0.9460116762893913,0.486709943963486,0.956099620092866,0.9514563106796117
8,0.9660194174757282,0.9626805144662286,0.960136674350703,0.46495910495230297,0.9675284930350359,0.9660194174757282
9,0.9660194174757282,0.9588783240568954,0.960136674350703,0.4680114021000353,0.9675284930350359,0.9660194174757282
10,0.9660194174757282,0.9426714051714051,0.960136674350703,0.4684436000087886,0.9675284930350359,0.9660194174757282
11,0.9514563106796117,0.9549469111969112,0.9462043375189935,0.4721220699907507,0.9558962634762274,0.9514563106796117
12,0.9563106796116505,0.9718117468117469,0.9509684765452324,0.46572227559043367,0.9605734656589217,0.9563106796116505
