round,accuracy,auc,f1-score,loss,precision,recall
1,0.9077669902912622,0.9313130884436867,0.885248781378752,0.7842644603507033,0.8678380965404074,0.9077669902912622
2,0.9514563106796117,0.956229035969748,0.9430282644615224,0.5139531695727005,0.9551534412364194,0.9514563106796117
3,0.9563106796116505,0.9594438942653228,0.9506746812649628,0.4765590539256346,0.9595629149238266,0.9563106796116505
4,0.9660194174757282,0.9686590115161544,0.9601896778680422,0.4581282474462268,0.9677306698330657,0.9660194174757282
5,0.970873786407767,0.9638149977435694,0.9649560795191864,0.4510169335939352,0.9721401435204726,0.970873786407767
6,0.9611650485436893,0.9572809590666734,0.9553797335350734,0.4553791686747838,0.9633560473577358,0.9611650485436893
7,0.9611650485436893,0.9593350297574094,0.9553797335350734,0.4680307686907574,0.9633560473577358,0.9611650485436893
8,0.9611650485436893,0.9712901561115846,0.9553797335350734,0.46475997191031004,0.9633560473577358,0.9611650485436893
9,0.9611650485436893,0.9492075331361044,0.9553797335350734,0.4686233806378633,0.9633560473577358,0.9611650485436893
10,0.9611650485436893,0.9078412015912015,0.9553144896040678,0.48875873644375106,0.9631190193476288,0.9611650485436893
11,0.9660194174757282,0.9408407711979141,0.960136674350703,0.4783286701128321,0.9675284930350359,0.9660194174757282
12,0.970873786407767,0.9451061567132997,0.9649560795191864,0.4688889326401127,0.9721401435204726,0.970873786407767
13,0.9660194174757282,0.9347116364973508,0.960136674350703,0.46637156808260577,0.9675284930350359,0.9660194174757282
14,0.9660194174757282,0.949874224874225,0.960136674350703,0.46109737470312023,0.9675284930350359,0.9660194174757282
15,0.9660194174757282,0.962632669775527,0.960219107467207,0.45203465425852435,0.9678298929237913,0.9660194174757282
16,0.9660194174757282,0.9640369845726988,0.960136674350703,0.44936387284288126,0.9675284930350359,0.9660194174757282
17,0.9660194174757282,0.9201162897591469,0.960136674350703,0.46866739548525765,0.9675284930350359,0.9660194174757282
