round,accuracy,auc,f1-score,loss,precision,recall
1,0.9320388349514563,0.9490445227759663,0.9238128253682671,0.734773008568773,0.936527416928757,0.9320388349514563
2,0.9563106796116505,0.95416854702569,0.950807622821365,0.48366425714446504,0.9593595583071878,0.9563106796116505
3,0.9660194174757282,0.956462793962794,0.960136674350703,0.466442918893203,0.9675284930350359,0.9660194174757282
4,0.9466019417475728,0.9554718906830805,0.9424154884591579,0.46355049673793386,0.9427625772285965,0.9466019417475728
5,0.9563106796116505,0.9596494801851944,0.9506746812649628,0.4592348467377783,0.9595629149238266,0.9563106796116505
6,0.9611650485436893,0.9425719550719551,0.9553797335350734,0.46748834472258116,0.9633560473577358,0.9611650485436893
7,0.9660194174757282,0.9462306114091827,0.960136674350703,0.4592018674299555,0.9675284930350359,0.9660194174757282
8,0.9563106796116505,0.9571488116130972,0.950807622821365,0.45906822311068046,0.9593595583071878,0.9563106796116505
9,0.970873786407767,0.9649587783516353,0.9649560795191864,0.44064714318340265,0.9721401435204726,0.970873786407767
10,0.9611650485436893,0.9613873497802069,0.9553797335350734,0.4560151522599378,0.9633560473577358,0.9611650485436893
