round,accuracy,auc,f1-score,loss,precision,recall
1,0.912621359223301,0.910809424636271,0.9050613733829286,0.7707671204816948,0.9213626179645598,0.912621359223301
2,0.9320388349514563,0.9578343483391029,0.9279614324408226,0.5092487965972678,0.9318631445916895,0.9320388349514563
3,0.9077669902912622,0.9532008096139012,0.9036026156850556,0.5324085100183209,0.9293019952969663,0.9077669902912622
4,0.9466019417475728,0.9601775350642002,0.9406096045587765,0.49901038292542244,0.9503152634737019,0.9466019417475728
5,0.9660194174757282,0.9269062661919804,0.9573096627157459,0.4874125643841271,0.9677306698330657,0.9660194174757282
6,0.9563106796116505,0.96194456283742,0.9508646860526986,0.4646243704754172,0.9591532111520691,0.9563106796116505
7,0.941747572815534,0.9635242733457021,0.9366350167672998,0.47203149899695684,0.9482816237512312,0.941747572815534
8,0.9611650485436893,0.9445628374199802,0.9553797335350734,0.46875221868163175,0.9633560473577358,0.9611650485436893
9,0.9611650485436893,0.9570195891624464,0.9554549684409681,0.45641755045038984,0.9631526907410971,0.9611650485436893
10,0.9611650485436893,0.9691269534452861,0.9553797335350734,0.4723235791169324,0.9633560473577358,0.9611650485436893
11,0.9660194174757282,0.9698602475388189,0.9601561261611067,0.4553517007712022,0.9673251364183971,0.9660194174757282
12,0.9611650485436893,0.9795327098898529,0.9554549684409681,0.45027029658984213,0.9631526907410971,0.9611650485436893
13,0.9660194174757282,0.9689854627354627,0.960136674350703,0.456187804925789,0.9675284930350359,0.9660194174757282
14,0.9611650485436893,0.9408790051647193,0.9554549684409681,0.47279949905802904,0.9631526907410971,0.9611650485436893
15,0.9660194174757282,0.97044556151699,0.960136674350703,0.45084912626488693,0.9675284930350359,0.9660194174757282
16,0.9660194174757282,0.9698023742666599,0.960136674350703,0.45855590180285927,0.9675284930350359,0.9660194174757282
