round,accuracy,auc,f1-score,loss,precision,recall
1,0.7766990291262136,0.8138666020133194,0.7622500252545931,1.0220326995386662,0.7844269746733644,0.7766990291262136
2,0.8446601941747572,0.8767996395853201,0.8331162680558846,0.8498421166707011,0.8244940738872779,0.8446601941747572
3,0.8640776699029126,0.888293438972847,0.8565080468783972,0.8017552466068453,0.8573046336017662,0.8640776699029126
4,0.8543689320388349,0.8708446783198479,0.8484926974035206,0.8287158567928573,0.8482709200184929,0.8543689320388349
5,0.8592233009708737,0.8665051968129436,0.8514318348698701,0.850617401808211,0.8508261472592415,0.8592233009708737
6,0.8495145631067961,0.8699746060524525,0.8422475575475051,0.8587096235127125,0.8425282498166404,0.8495145631067961
7,0.8252427184466019,0.8694621924460829,0.8220569034497031,0.8662033185218144,0.8454397772104897,0.8252427184466019
8,0.8252427184466019,0.8852457191971258,0.832056499097166,0.8503353329538141,0.86202299008515,0.8252427184466019
9,0.8203883495145631,0.8873333380359415,0.8285624389993321,0.8638926848624516,0.8605409153952844,0.8203883495145631
10,0.8058252427184466,0.8886258224449051,0.8036475486772179,0.8839203605374086,0.8590466877538192,0.8058252427184466
11,0.7766990291262136,0.88840865947355,0.7851293611038671,0.8809717581110094,0.825054140204881,0.7766990291262136
12,0.8009708737864077,0.8883279670200616,0.7988083541298415,0.8729016572526358,0.8283546824175005,0.8009708737864077
13,0.8203883495145631,0.9057343035391177,0.822017637020746,0.8303167241290935,0.8402203349238224,0.8203883495145631
14,0.8300970873786407,0.900060004304471,0.826702213624078,0.8256534708356394,0.8334306202749313,0.8300970873786407
15,0.8300970873786407,0.9008553068138573,0.8336742407335737,0.8147147060597985,0.8473729297544261,0.8300970873786407
16,0.8349514563106796,0.8854879555438897,0.838870451952732,0.8104657687029793,0.8505169278655857,0.8349514563106796
17,0.8495145631067961,0.8767893586478571,0.8505991754928811,0.8077958463465126,0.8580696744717304,0.8495145631067961
18,0.8495145631067961,0.8782306835515302,0.8505991754928811,0.7817481721489175,0.8580696744717304,0.8495145631067961
19,0.8543689320388349,0.8861215354873174,0.8547553043535512,0.757379214740494,0.860068056348753,0.8543689320388349
20,0.8446601941747572,0.891551741311731,0.8464280539052312,0.7698917267391983,0.8562250142775556,0.8446601941747572
21,0.8737864077669902,0.8753111748666091,0.8700681694954339,0.7698464810269551,0.8702607955244681,0.8737864077669902
22,0.8543689320388349,0.892633473624955,0.8534098841066289,0.7676106095314026,0.8606910691672194,0.8543689320388349
