round,accuracy,auc,f1-score,loss,precision,recall
1,0.8980582524271845,0.9373762924929444,0.8957107376705479,0.914927430523252,0.9119390631291666,0.8980582524271845
2,0.883495145631068,0.9555020592227582,0.8754424682494357,0.5722577583442614,0.9132398244958926,0.883495145631068
3,0.941747572815534,0.9401885954821602,0.9359617633461152,0.5209306961703069,0.9473436651993005,0.941747572815534
4,0.9611650485436893,0.9621996648782363,0.9555717618476038,0.4588210970452688,0.9640367604898821,0.9611650485436893
5,0.9514563106796117,0.9617475636963694,0.9460116762893913,0.46181665954080603,0.956099620092866,0.9514563106796117
6,0.941747572815534,0.973945720147622,0.9364074257940915,0.4754627072116704,0.9419814085413813,0.941747572815534
7,0.9466019417475728,0.980730185194471,0.94185818544337,0.4687043439994738,0.9544780667564311,0.9466019417475728
8,0.941747572815534,0.9656456317170602,0.9366668026433875,0.48990069662482993,0.9384188626907074,0.941747572815534
9,0.9660194174757282,0.9732248366176938,0.960136674350703,0.4295407782480555,0.9675284930350359,0.9660194174757282
10,0.9563106796116505,0.9576837737552023,0.9504998421379309,0.4625403120101077,0.9589465736703287,0.9563106796116505
11,0.9563106796116505,0.9639576961005533,0.9504998421379309,0.46489790573860834,0.9589465736703287,0.9563106796116505
12,0.970873786407767,0.9702366327366327,0.9649560795191864,0.44003725051879883,0.9721401435204726,0.970873786407767
13,0.9611650485436893,0.967683523040666,0.9553797335350734,0.4631910532423594,0.9633560473577358,0.9611650485436893
14,0.970873786407767,0.9695791338648483,0.9649560795191864,0.44363963488236213,0.9721401435204726,0.970873786407767
15,0.9611650485436893,0.9568886952815523,0.9553797335350734,0.46783118311641286,0.9633560473577358,0.9611650485436893
16,0.9611650485436893,0.9654379565093851,0.9553797335350734,0.474306813142832,0.9633560473577358,0.9611650485436893
17,0.9611650485436893,0.9743262046833476,0.9553797335350734,0.4428776126463436,0.9633560473577358,0.9611650485436893
18,0.9660194174757282,0.9415297138511423,0.960136674350703,0.4658544205346154,0.9675284930350359,0.9660194174757282
19,0.9611650485436893,0.9627346270203411,0.9553797335350734,0.4504731361148427,0.9633560473577358,0.9611650485436893
20,0.9514563106796117,0.9488400274114559,0.9460116762893913,0.4724981744312546,0.956099620092866,0.9514563106796117
21,0.9611650485436893,0.9413132636346924,0.9553797335350734,0.4662830259614778,0.9633560473577358,0.9611650485436893
22,0.9611650485436893,0.9744970039612899,0.9553797335350734,0.4374899719525309,0.9633560473577358,0.9611650485436893
